NRpix,sequence_number,FLpix,fips_county,county_name,latitude,longitude,wmd,wmd_cd
8390,57812,13983,87,Monroe,24.553896130500004,-82.11280424739999,SFWMD,5
8406,51300,13984,87,Monroe,24.553896130500004,-81.8068766702,SFWMD,5
8407,50893,14366,87,Monroe,24.553896130500004,-81.7877561966,SFWMD,5
8865,57406,14367,87,Monroe,24.571860197,-82.09368377379998,SFWMD,5
8883,50080,14370,87,Monroe,24.571860197,-81.74951524949999,SFWMD,5
8884,49673,14371,87,Monroe,24.571860197,-81.73039477589998,SFWMD,5
8886,48859,14372,87,Monroe,24.571860197,-81.6921538288,SFWMD,5
8887,48452,14373,87,Monroe,24.571860197,-81.6730333552,SFWMD,5
9338,57814,14374,87,Monroe,24.5898242635,-82.11280424739999,SFWMD,5
9360,48860,14375,87,Monroe,24.5898242635,-81.6921538288,SFWMD,5
9361,48453,14376,87,Monroe,24.5898242635,-81.6730333552,SFWMD,5
9839,46826,14377,87,Monroe,24.60778833,-81.5965514609,SFWMD,5
9840,46419,14378,87,Monroe,24.60778833,-81.57743098729999,SFWMD,5
10312,47234,14379,87,Monroe,24.6257523966,-81.6156719345,SFWMD,5
10315,46013,14380,87,Monroe,24.6257523966,-81.55831051369998,SFWMD,5
10316,45606,14381,87,Monroe,24.6257523966,-81.5391900402,SFWMD,5
10317,45199,14382,87,Monroe,24.6257523966,-81.5200695666,SFWMD,5
10787,46828,14383,87,Monroe,24.6437164631,-81.5965514609,SFWMD,5
10791,45200,14384,87,Monroe,24.6437164631,-81.5200695666,SFWMD,5
10800,41537,14385,87,Monroe,24.6437164631,-81.3479853044,SFWMD,5
10801,41130,14386,87,Monroe,24.6437164631,-81.3288648309,SFWMD,5
11265,45201,14387,87,Monroe,24.6616805296,-81.5200695666,SFWMD,5
11266,44794,14388,87,Monroe,24.6616805296,-81.500949093,SFWMD,5
11269,43573,14389,87,Monroe,24.6616805296,-81.4435876723,SFWMD,5
11271,42759,14390,87,Monroe,24.6616805296,-81.4053467252,SFWMD,5
11272,42352,14391,87,Monroe,24.6616805296,-81.3862262516,SFWMD,5
11273,41945,14392,87,Monroe,24.6616805296,-81.36710577799998,SFWMD,5
11274,41538,14393,87,Monroe,24.6616805296,-81.3479853044,SFWMD,5
11278,39910,14394,87,Monroe,24.6616805296,-81.27150341009998,SFWMD,5
11732,48051,14395,87,Monroe,24.6796445961,-81.6539128816,SFWMD,5
11737,46016,14765,87,Monroe,24.6796445961,-81.55831051369998,SFWMD,5
11738,45609,14766,87,Monroe,24.6796445961,-81.5391900402,SFWMD,5
11740,44795,14767,87,Monroe,24.6796445961,-81.500949093,SFWMD,5
11741,44388,14768,87,Monroe,24.6796445961,-81.48182861949999,SFWMD,5
11743,43574,14770,87,Monroe,24.6796445961,-81.4435876723,SFWMD,5
11747,41946,14771,87,Monroe,24.6796445961,-81.36710577799998,SFWMD,5
11748,41539,14772,87,Monroe,24.6796445961,-81.3479853044,SFWMD,5
12205,48459,14773,87,Monroe,24.697608662600004,-81.6730333552,SFWMD,5
12214,44796,14774,87,Monroe,24.697608662600004,-81.500949093,SFWMD,5
12218,43168,14775,87,Monroe,24.697608662600004,-81.4244671987,SFWMD,5
12221,41947,14776,87,Monroe,24.697608662600004,-81.36710577799998,SFWMD,5
12223,41133,14777,87,Monroe,24.697608662600004,-81.3288648309,SFWMD,5
12235,36249,14778,87,Monroe,24.697608662600004,-81.09941914799998,SFWMD,5
12236,35842,14779,87,Monroe,24.697608662600004,-81.0802986744,SFWMD,5
12694,42355,14780,87,Monroe,24.7155727291,-81.3862262516,SFWMD,5
12709,36250,14781,87,Monroe,24.7155727291,-81.09941914799998,SFWMD,5
12710,35843,14782,87,Monroe,24.7155727291,-81.0802986744,SFWMD,5
13165,43577,14783,87,Monroe,24.7335367956,-81.4435876723,SFWMD,5
13168,42356,14784,87,Monroe,24.7335367956,-81.3862262516,SFWMD,5
13172,40728,14785,87,Monroe,24.7335367956,-81.30974435729999,SFWMD,5
13186,35030,14786,87,Monroe,24.7335367956,-81.04205772729999,SFWMD,5
13188,34216,14787,87,Monroe,24.7335367956,-81.00381678009998,SFWMD,5
13640,43171,14788,87,Monroe,24.751500862100002,-81.4244671987,SFWMD,5
13663,33810,14789,87,Monroe,24.751500862100002,-80.9846963066,SFWMD,5
13664,33403,14790,87,Monroe,24.751500862100002,-80.965575833,SFWMD,5
14139,32997,14791,87,Monroe,24.7694649286,-80.94645535939999,SFWMD,5
14141,32183,14792,87,Monroe,24.7694649286,-80.9082144123,SFWMD,5
15093,30557,14793,87,Monroe,24.8053930616,-80.83173251799998,SFWMD,5
15568,30151,14794,87,Monroe,24.8233571281,-80.8126120444,SFWMD,5
15569,29744,14795,87,Monroe,24.8233571281,-80.7934915708,SFWMD,5
16045,28931,14796,87,Monroe,24.8413211946,-80.75525062369998,SFWMD,5
16520,28525,14797,87,Monroe,24.859285261100002,-80.73613015009998,SFWMD,5
16521,28118,14798,87,Monroe,24.859285261100002,-80.7170096765,SFWMD,5
17946,26900,14799,87,Monroe,24.9131774606,-80.65964825579998,SFWMD,5
17947,26493,14800,87,Monroe,24.9131774606,-80.64052778219998,SFWMD,5
18422,26087,14801,87,Monroe,24.9311415271,-80.6214073087,SFWMD,5
18897,25681,14802,87,Monroe,24.949105593600002,-80.6022868351,SFWMD,5
19372,25275,14804,87,Monroe,24.9670696601,-80.58316636149999,SFWMD,5
19373,24868,15168,87,Monroe,24.9670696601,-80.56404588789998,SFWMD,5
19848,24462,15169,87,Monroe,24.985033726599998,-80.5449254144,SFWMD,5
20322,24463,15170,87,Monroe,25.0029977931,-80.5449254144,SFWMD,5
20323,24056,15171,87,Monroe,25.0029977931,-80.5258049408,SFWMD,5
20798,23650,15172,87,Monroe,25.0209618596,-80.5066844672,SFWMD,5
21259,28942,15173,87,Monroe,25.038925926100003,-80.75525062369998,SFWMD,5
21272,23651,15174,87,Monroe,25.038925926100003,-80.5066844672,SFWMD,5
21736,27722,15175,87,Monroe,25.056889992600002,-80.697889203,SFWMD,5
21747,23245,15176,87,Monroe,25.056889992600002,-80.48756399369998,SFWMD,5
21749,22431,15177,87,Monroe,25.056889992600002,-80.4493230465,SFWMD,5
22208,28537,15178,87,Monroe,25.074854059099998,-80.73613015009998,SFWMD,5
22222,22839,15179,87,Monroe,25.074854059099998,-80.46844352009998,SFWMD,5
22697,22433,15180,87,Monroe,25.0928181256,-80.4493230465,SFWMD,5
23160,26911,15181,87,Monroe,25.1107821921,-80.65964825579998,SFWMD,5
